@relation 'RelationName-weka.filters.unsupervised.attribute.NumericToNominal-R386_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute PC50 numeric
@attribute class {0,1,2,3,4,5}

@data
-3.82189,9.137978,1.188612,-2.44566,-1.64228,-0.694628,5.900589,1.718137,2.350473,-5.570985,-0.701237,0.82083,0.991217,0.884593,2.131643,0.657592,-1.592903,0.2879,-0.361623,1.809988,-1.852654,-0.023488,0.703248,0.525691,-0.968406,-0.980466,0.624247,0.096752,-0.431125,-1.332904,1.76855,-1.266201,-0.04208,1.196545,-0.301185,0.187945,-0.270628,0.496993,-0.394736,0.278312,0.140302,0.079137,0.449689,-0.337589,-0.568146,0.064513,0.507754,0.1019,0.844429,0.667756,4
5.860368,-3.931077,-10.38014,2.470582,0.92946,0.122944,0.88526,0.606864,2.197128,-0.573457,1.065603,1.955286,5.470653,4.144648,-0.621702,-4.010308,0.339178,0.972247,0.069864,2.856681,1.936593,-4.665354,-0.495121,5.500289,3.285652,1.707417,-2.006708,0.555886,-0.078682,-1.143536,0.819803,4.015474,-1.430487,1.743459,1.69348,-0.29209,1.234206,-0.224755,0.669354,-1.549002,1.761175,0.356108,-2.644378,0.927506,-2.16267,1.023565,-0.702637,0.793101,0.19912,-0.472703,4
5.787196,-5.281875,-18.498279,-8.748565,5.513191,-0.313424,-5.906223,0.597178,2.200725,-4.257392,5.447241,-4.962965,1.57969,2.003266,-0.459123,-0.383989,2.611692,4.485376,-2.24122,0.176113,-0.642023,-3.369063,-3.444237,-0.51322,-6.986964,2.067837,1.73788,-3.601666,-0.032983,-0.287276,-2.164654,-2.160893,0.348081,0.178324,0.235704,0.408118,-0.203118,-0.142132,-0.12603,0.434229,0.23597,0.226461,-1.035687,0.869579,0.93281,-0.212225,-1.296823,-0.085044,-0.247669,-0.844614,4
6.124912,-3.597604,-10.35245,2.654357,0.674944,0.125707,0.677011,0.572244,1.901771,-0.384041,1.046312,2.408723,5.658688,4.096131,-0.671843,-3.804525,0.575419,0.876859,0.379115,3.164975,1.820777,-4.641602,-0.603319,5.424591,3.469928,1.337588,-1.857999,0.433154,-0.324286,-1.244017,0.859151,3.801681,-1.30909,1.958053,1.696848,-0.459697,1.260238,-0.068745,1.025937,-1.823864,2.026932,0.138436,-2.732036,0.659991,-1.904402,1.010892,-0.786579,0.61976,-0.158269,-0.545328,4
9.146287,-1.804424,-5.840891,11.521149,-1.97523,1.328565,1.582247,1.420512,-0.115752,1.186111,0.749545,-0.893562,3.722409,1.312711,-0.496693,-1.359852,-0.000053,1.487014,-0.502342,-0.720998,-2.248619,3.222248,-2.07463,-1.528293,0.41538,0.340152,-1.45367,0.02665,-0.363257,-0.004509,-0.039133,-0.12225,-0.400335,0.360827,-0.411841,-0.242878,-0.320485,0.122047,-0.449048,0.258693,-0.220948,-0.431533,0.049874,0.10735,0.240337,0.096659,0.144184,-0.047617,0.422154,0.144386,5
9.082347,-1.756411,-5.835094,11.555826,-1.968403,1.310525,1.537467,1.431525,-0.04,1.250669,0.775824,-0.923503,3.719117,1.201095,-0.551942,-1.331504,-0.008821,1.503202,-0.51192,-0.637887,-2.269339,3.400859,-2.072345,-1.541404,0.456272,0.385517,-1.479523,-0.00304,-0.396153,-0.088795,0.034956,-0.05725,-0.400448,0.265655,-0.480405,-0.25499,-0.295312,0.139556,-0.463015,0.203392,-0.204179,-0.442257,0.072175,0.108642,0.18608,0.062324,0.186946,-0.107279,0.362858,0.135466,5
9.040703,-1.731385,-5.832258,11.569722,-1.972417,1.299127,1.527458,1.442363,-0.005736,1.270935,0.794003,-0.932683,3.688585,1.12915,-0.592443,-1.331661,-0.005824,1.508007,-0.521775,-0.60851,-2.305133,3.501974,-2.06357,-1.553978,0.508554,0.426593,-1.47612,-0.005193,-0.410843,-0.129576,0.099754,-0.03035,-0.410664,0.207209,-0.505252,-0.26495,-0.301165,0.143197,-0.488388,0.191959,-0.188106,-0.422458,0.083223,0.12162,0.195211,0.050625,0.215168,-0.142272,0.326987,0.135928,5
9.004615,-1.70151,-5.808739,11.574077,-1.978496,1.28281,1.505935,1.465697,0.044472,1.302877,0.807772,-0.944217,3.670264,1.075282,-0.622509,-1.32578,-0.021557,1.504165,-0.531695,-0.571331,-2.30463,3.587274,-2.04693,-1.550917,0.532797,0.457348,-1.457259,-0.005267,-0.423435,-0.160934,0.152703,0.008201,-0.39251,0.149546,-0.542671,-0.267597,-0.29851,0.143867,-0.4898,0.160829,-0.171943,-0.399347,0.098804,0.135287,0.172242,0.036263,0.233459,-0.178221,0.28455,0.133036,5
-8.195491,13.379226,-1.618599,3.80469,0.902548,-0.437462,-5.183618,-0.749845,-0.763807,1.693456,1.886397,1.405569,-1.068104,4.77682,1.703215,1.595751,-2.138426,2.80185,-1.674262,2.594505,4.87969,4.616132,2.055092,1.640268,-1.162414,-0.915785,-1.222078,0.068918,0.117554,2.109023,-0.479869,0.044885,0.239032,0.497177,1.654226,-0.33917,-0.07998,-1.069552,0.06136,0.394208,0.471207,-0.092613,0.853563,0.742219,1.425414,0.355033,-0.289493,1.432463,-0.468011,-1.396327,0
-6.76284,10.430062,0.000095,1.346269,0.049964,-0.854983,-0.526244,-1.786477,0.062577,0.278348,0.950793,0.617925,-1.04326,-0.287052,-1.315715,0.413041,0.938537,0.793632,-2.138815,0.307981,3.179946,2.787964,0.24366,1.001299,-1.697761,-1.084835,-1.351809,-0.341,-1.02591,0.516051,-0.760458,1.428757,-0.191727,0.96402,-2.220319,0.058378,-0.154585,-0.16478,1.257591,-1.058084,0.253444,-0.277375,-0.25422,2.473426,-0.742406,-2.391581,0.373695,1.451077,-0.359915,-1.511123,0
