@relation 'RelationName-weka.filters.unsupervised.attribute.NumericToNominal-R386-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute class {0,1,2,3,4,5}

@data
8.0093,-2.476261,-7.059585,6.699628,-2.954129,2.58414,-0.365835,2.316284,0.493259,3.759782,-0.972601,-1.780104,-8.45744,2.026417,0.973878,-0.281612,0.086549,-0.206472,-1.243036,0.810942,1.07602,0.69385,-2.88782,-0.922743,-1.265495,-1.515068,0.217548,-0.70257,-0.237898,-0.922415,1.157808,-0.910361,-0.637694,0.531624,0.727342,0.955295,-0.691541,0.249222,0.825327,1.439229,-0.814815,0.233727,0.08047,0.219749,0.617017,-0.395177,0.119824,0.489282,-0.212424,1
-11.360788,-8.8235,3.242675,0.585466,3.587073,4.138859,1.129092,-3.428805,0.537647,-0.438507,1.30186,3.125004,-0.64027,1.402044,1.359068,2.149329,3.689889,1.491942,-1.278649,1.755918,0.47204,-0.460076,-0.470859,-2.704379,-0.359735,3.653879,-0.973283,0.384083,-1.953201,1.707157,1.847578,-1.700116,-2.952008,1.682074,-2.567865,7.068457,1.293839,-1.884223,11.106996,-7.535128,6.936188,3.103341,0.753411,2.184218,-0.733113,0.245124,1.11099,0.803072,1.172666,1
13.578798,-1.189778,6.91338,-0.95404,6.487614,-0.793848,-0.245445,2.683111,0.73331,-0.109771,0.462471,-0.904325,3.240935,1.841923,1.382915,-1.656888,1.939964,-2.47531,-1.891405,1.998842,3.324612,-0.00578,0.816973,-0.083023,0.415002,2.107235,0.412405,-1.72149,-0.9597,-2.468373,1.744404,1.002845,2.329031,1.257622,2.734949,1.221284,1.415466,1.236302,-0.457542,-0.726418,-0.191891,-0.203799,-1.527545,0.077891,-2.032511,-1.328154,-0.641002,1.98125,-1.338651,1
-7.292515,15.032417,0.356184,3.103246,1.858511,-1.290447,-8.582059,-1.43307,-4.107511,-3.969603,2.829818,-0.164301,-0.871153,-0.249803,0.930235,-1.254647,-2.474036,-0.109269,-4.106364,3.582824,-2.831478,-1.758019,-1.078249,0.132741,0.080689,-0.459477,1.529572,-0.182574,0.401347,-0.262275,0.102347,-0.377534,-0.017932,-0.148253,-0.61185,-0.34988,0.121332,-0.155826,-0.025172,0.504939,0.145933,0.622338,0.827673,0.686947,-1.325084,0.672121,-0.219378,0.464387,0.080135,1
-7.188885,14.819751,0.316255,3.05437,1.781181,-1.241387,-8.173317,-1.489046,-4.453928,-3.710041,2.844431,-0.130146,-0.737885,0.113601,0.786347,-1.556823,-2.13584,0.151934,-4.06134,3.22123,-2.783696,-1.861126,-1.368157,0.379558,-0.060237,-0.335392,1.523962,-0.106124,0.33244,-0.640512,0.351971,-0.553922,-0.112421,-0.097341,-0.532774,-0.538175,0.162706,-0.086657,-0.052804,0.465554,0.119966,0.680199,0.894043,0.847352,-1.237526,0.834265,-0.256939,0.508464,0.265111,1
13.406334,-1.049123,6.842504,-0.862446,6.262951,-0.719593,-0.086176,2.617486,0.571683,-0.131396,0.428719,-0.89278,2.999636,1.778816,1.386624,-1.791116,2.067809,-2.646469,-1.953152,2.264945,3.387923,0.055197,0.830993,-0.270214,0.154012,2.030471,0.343077,-1.635418,-0.929405,-2.454182,1.783426,1.132547,2.507976,1.485034,3.007456,1.136927,1.712182,1.322775,-0.639863,-0.77359,-0.024143,-0.159864,-1.67705,0.135041,-2.120542,-1.415567,-0.694794,1.964424,-1.361398,1
-11.597814,-5.509082,3.038265,0.035285,2.492211,5.311794,-0.580336,4.872225,-0.530828,2.339338,2.328258,1.986305,0.548611,-1.838629,-1.152554,-1.338076,-1.916624,-0.621511,-1.269735,-1.155439,-0.495499,0.493829,0.67177,-0.741922,1.000633,-0.724394,-2.284404,-0.438771,1.010796,-0.644512,-0.358291,-0.188639,0.434947,0.052089,0.285931,-0.354622,-0.150025,-0.048956,-0.084469,-0.125254,0.444707,-0.152301,0.187007,0.017441,0.141535,0.757659,0.062824,-0.053399,-0.445651,1
-10.772829,-11.322354,2.043275,0.527492,2.53519,1.722079,-1.539153,-7.998401,1.986634,-0.535519,0.01064,-1.133899,-0.836282,-0.182202,0.055373,-0.613327,-0.720299,-0.673413,0.991051,-0.709907,0.475764,-0.142715,-0.026222,1.601668,0.117582,-2.426209,0.739919,-0.871226,0.574554,-1.694702,-0.204447,0.099971,0.316762,-0.325779,0.386955,-0.665896,0.379705,0.084531,-0.309432,-0.615385,0.385838,0.032888,-0.080091,1.091081,-0.621931,0.1295,0.390194,0.075012,0.505161,1
14.860897,0.130922,9.177288,-2.208911,6.583279,-1.675812,-0.343413,-0.496511,-0.308865,-0.037233,-1.037743,1.192972,-1.011197,-1.245853,0.011975,-1.023094,1.183214,1.105931,1.647691,-0.537024,-2.363209,-0.286102,0.768128,1.269849,-1.321124,-1.787635,0.391388,1.324225,1.24543,2.363164,1.941057,-1.413262,0.984329,0.916893,0.128714,-1.212744,0.038079,-0.869401,0.595801,0.866373,0.98617,0.203579,-0.29356,-0.24208,1.199442,-1.439274,-0.147364,-0.927339,-1.533682,1
7.938216,-2.429984,-7.424683,5.001028,-1.830637,2.153232,-0.1986,1.842232,-0.676512,3.661516,-1.57567,-0.362365,-9.573282,1.53054,-0.150952,-0.706824,0.35906,0.147117,-0.551717,1.706721,2.878128,1.052042,-1.780389,-2.426604,0.933266,-0.372209,1.857315,0.342135,2.695735,1.038686,-1.221642,0.284932,1.00148,-0.977626,-1.491049,-0.101877,0.699727,-1.550706,-1.589495,-2.441065,-1.321744,0.729118,-0.194667,-0.134172,-1.69327,0.386993,-0.386644,0.134181,0.894664,1
